# country,prefix
'Afghanistan','YA'
'Albania','ZA'
'Algeria','7T'
'Andorra','C3'
'Angola','D2'
'Anguilla','VP'
'Antigua and Barbuda','V2'
'Argentina','LV'
'Argentina','LQ'
'Armenia','EK'
'Aruba','P4'
'Australia','VH'
'Austria','OE'
'Azerbaijan','4K'
'Bahamas','C6'
'Bahrain','A9C'
'Bangladesh','S2'
'Barbados','8P'
'Belarus','EW'
'Belgium','OO'
'Belize','V3'
'Benin','TY'
'Bermuda','VP'
'Bermuda','VQ'
'Bhutan','A5'
'Bolivia','CP'
'Bosnia and Herzegovina','T9'
'Bosnia and Herzegovina','E7'
'Botswana','A2'
'Brazil','PP'
'Brazil','PR'
'Brazil','PT'
'Brazil','PU'
'British Virgin Islands','VP'
'Brunei','V8'
'Bulgaria','LZ'
'Burkina Faso','XT'
'Burundi','9U'
'Cambodia','XU'
'Cameroon','TJ'
'Canada','C'
'Cape Verde','D4'
'Cayman Islands','VP'
'Central African Republic','TL'
'Chad','TT'
'Chile','CC'
'Republic of China (Taiwan)','B'
'People''s Republic of China','B'
'Hong Kong','B'
'Macau,China','B'
'Colombia','HU'
'Colombia','HK'
'Comoros','D6'
'Congo,Republic of','TN'
'Cook Islands','E5'
'Congo,Democratic Republic of','9Q'
'Costa Rica','TI'
'C?te d''Ivoire','TU'
'Croatia','9A'
'Cuba','CU'
'Cyprus,Republic of','5B'
'Czech Republic','OK'
'Denmark','OY'
'Djibouti','J2'
'Dominica','J7'
'Dominican Republic','HI'
'East Timor','4W'
'East Timor','N1'
'Ecuador','HC'
'Egypt','SU'
'El Salvador','YS'
'Equatorial Guinea','3C'
'Eritrea','E3'
'Estonia','ES'
'Ethiopia','ET'
'Falkland Islands','VP'
'Fiji Islands','DQ'
'Finland','OH'
'France','F'
'French West Indies','F'
'French Guyana','F'
'Gabon','TR'
'Gambia','C5'
'Georgia','4L'
'Germany','D'
'Ghana','9G'
'Gibraltar','VP'
'Greece','SX'
'Grenada','J3'
'Guatemala','TG'
'Guinea','3X'
'Guinea Bissau','J5'
'Guyana','8R'
'Haiti','HH'
'Honduras','HR'
'Hungary','HA'
'Iceland','TF'
'India','VT'
'Indonesia','PK'
'Iran','EP'
'Iraq','YI'
'Ireland','EI'
'Israel','4X'
'Italy','I'
'Jamaica','6Y'
'Japan','JA'
'Jersey','ZJ'
'Jordan','JY'
'Kosovo,Republic of','Z6'
'Kazakhstan','UP'
'Kenya','5Y'
'Kiribati','T3'
'Korea,People''s Democratic Rep.','P'
'Korea,Republic of','HL'
'Kuwait','9K'
'Kyrgyzstan','EX'
'Laos','RDPL'
'Latvia','YL'
'Lebanon','OD'
'Lesotho','7P'
'Liberia','A8'
'Libya','5A'
'Liechtenstein','HB'
'Lithuania','LY'
'Luxembourg','LX'
'Macedonia,Republic of','Z3'
'Madagascar','5R'
'Malawi','7Q'
'Malaysia','9M'
'Maldives','8Q'
'Mali','TZ'
'Malta','9H'
'Isle of Man[13]','M'
'Marshall Islands','V7'
'Mauritania','5T'
'Mauritius','3B'
'Mexico','XA'
'Mexico','XB'
'Mexico','XC'
'Micronesia,Federated States of','V6'
'Moldova','ER'
'Monaco','3A'
'Mongolia','JU'
'Montenegro','4O'
'Montserrat','VP'
'Morocco','CN'
'Mozambique','C9'
'Myanmar','XY'
'Myanmar','XZ'
'Namibia','V5'
'Nauru','C2'
'Nepal','9N'
'Netherlands','PH'
'Netherlands Antilles','PJ'
'New Zealand','ZK'
'Nicaragua','YN'
'Niger','5U'
'Nigeria','5N'
'Norway','LN'
'Oman','A4O'
'Pakistan','AP'
'Pakistan','AR'
'Palestine','SU'
'Palestine','E4'
'Panama','HP'
'Papua New Guinea','P2'
'Paraguay','ZP'
'Peru','OB'
'Philippines','RP'
'Poland','SP'
'Poland','SN'
'Portugal','CR'
'Portugal','CS'
'Qatar','A7'
'Raunion Island','F'
'Romania','YR'
'Russian Federation','RA'
'Russian Federation','RF'
'Rwanda','9XR'
'Saint Helena/Ascension','VQ'
'Saint Kitts and Nevis','V4'
'Saint Lucia','J6'
'Saint Vincent and the Grenadines','J8'
'Samoa','5W'
'San Marino','T7'
'S?o Tom? and Pr?_ncipe','S9'
'Saudi Arabia','HZ'
'Senegal','6V'
'Serbia','YU'
'Seychelles','S7'
'Sierra Leone','9L'
'Singapore','9V'
'Slovakia','OM'
'Slovenia','S5'
'Solomon Islands','H4'
'Somalia','6O'
'South Africa','ZS'
'South Africa','ZT'
'South Africa','ZU'
'South Sudan',''
'Spain','EC'
'Sri Lanka','4R'
'Sudan','ST'
'Surinam','PZ'
'Swaziland','3D'
'Sweden','SE'
'Switzerland','HB'
'Syria','YK'
'Tajikistan','EY'
'Tanzania','5H'
'Thailand','HS'
'Togo','5V'
'Tonga','A3'
'Trinidad and Tobago','9Y'
'Tunisia','TS'
'Turkey','TC'
'Turkmenistan','EZ'
'Turks and Caicos','VQ'
'Tuvalu','T2'
'Uganda','5X'
'Ukraine','UR'
'United Arab Emirates','A6'
'United Kingdom','G'
'United NationsN3','4U'
'United States of America','N'
'Uruguay','CX'
'Uzbekistan','UK'
'Vanuatu','YJ'
'Venezuela','YV'
'Vietnam','VN'
'Yemen','7O'
'Zambia','9J'
'Zimbabwe','Z'
'United Arab Emirates','E6'